t (YYYYMMDD_HH:MM:SS),T (°C),RH (%RH),P (kPa)
20240323_205600 , 17.916580937016988 , 33.730180336359844 , 954.2380306566838
20240323_205700 , 17.86589241019101 , 33.81953377492784 , 954.2437683636495
20240323_205800 , 17.86589241019101 , 33.89725365870217 , 954.1897451266092
20240323_205900 , 17.80506621641689 , 34.019974294471 , 954.2344338585124
20240323_210000 , 17.749308908940293 , 33.99831773365186 , 954.3406444756496
20240323_210100 , 18.033164659165777 , 33.795605059204526 , 954.3031473571582
20240323_210200 , 18.418398922891356 , 33.16898672277578 , 954.361778062937
20240323_210300 , 18.763083636411466 , 32.64181780129955 , 954.3867603681044
20240323_210400 , 19.026666972436942 , 32.13715680014126 , 954.4262665090679
20240323_210500 , 19.24969964066986 , 31.710445738981402 , 954.4324388646256
20240323_210600 , 19.43725027507753 , 31.39532827761681 , 954.385786132991
20240323_210700 , 19.574111800291575 , 31.12538773371133 , 954.5075624098272
20240323_210800 , 19.675490844645537 , 30.92282672744129 , 954.5766847535596
20240323_210900 , 19.751525204308564 , 30.77641518159471 , 954.5540089604453
20240323_211000 , 19.518353375518927 , 30.931142140443427 , 954.5331827479506
20240323_211100 , 19.275044297712157 , 31.214046359111315 , 954.5241904068155
20240323_211200 , 19.03173589045764 , 31.407475837842263 , 954.5149754805257
20240323_211300 , 18.88473738601897 , 31.549045812512386 , 954.5132460030031
20240323_211400 , 18.707325723866234 , 31.71880377725046 , 954.6015194652335
20240323_211500 , 18.550189977977425 , 31.965989893476284 , 954.6115714206451
20240323_211600 , 18.47415665295557 , 32.211831782691604 , 954.6068049603599
20240323_211700 , 18.443743341282243 , 32.32904742012584 , 954.7238543911985
20240323_211800 , 18.347434590104967 , 32.43601446770636 , 954.6889224854391
20240323_211900 , 18.327159076929092 , 32.57527483548156 , 954.7128651808
20240323_212000 , 18.210574966535205 , 32.67685286672981 , 954.7288542092263
20240323_212100 , 18.139610800804803 , 32.833356941752456 , 954.7585320689452
20240323_212200 , 18.073715555132367 , 32.90640719105077 , 954.7957169676204
20240323_212300 , 18.04837124297046 , 33.00671391693861 , 954.8931504649101
20240323_212400 , 17.99261378182564 , 33.08515051620022 , 954.8643102006383
20240323_212500 , 17.936856355896452 , 33.196884869801636 , 954.9165083917392
20240323_212600 , 17.906443229323486 , 33.330508763003316 , 955.0063663388787
20240323_212700 , 17.89123666996602 , 33.1752050350664 , 954.956744450129
20240323_212800 , 18.002751499414444 , 33.15168167190434 , 954.960433057197
20240323_212900 , 18.362641228042776 , 32.71379709618867 , 954.9548142695504
20240323_213000 , 18.707325723866234 , 32.28087454916477 , 955.0072433642755
20240323_213100 , 18.996253470424563 , 31.79790235416375 , 954.9494024566656
20240323_213200 , 19.219286061823368 , 31.39887172565297 , 954.9016459066498
20240323_213300 , 19.39669875279651 , 31.1060899676661 , 955.0025784098581
20240323_213400 , 19.52849126831279 , 30.869616528617232 , 955.0357283410017
20240323_213500 , 19.660283980570966 , 30.649717963221313 , 955.0688247502895
20240323_213600 , 19.690697711339453 , 30.537572877138103 , 955.0597835056636
20240323_213700 , 19.487939704122255 , 30.647249617690814 , 955.0026184872356
20240323_213800 , 19.229423920274712 , 30.91942791577486 , 955.0791219842333
20240323_213900 , 19.072287245100597 , 31.08928097758689 , 955.03525279497
20240323_214000 , 18.960771064652363 , 31.24710820307385 , 955.086125962234
20240323_214100 , 18.849255025066668 , 31.34916577115614 , 955.1369328889044
20240323_214200 , 18.66677453686134 , 31.474555285468348 , 955.109282874115
20240323_214300 , 18.611016685143113 , 31.686889840627476 , 955.323927874145
20240323_214400 , 18.453881110675866 , 31.76160548728663 , 955.1985507413416
20240323_214500 , 18.327159076929092 , 31.858047196564144 , 955.3075695819805
20240323_214600 , 18.31195244510309 , 32.03063770844047 , 955.1227741078536
20240323_214700 , 18.32209019936272 , 31.969329082245583 , 955.1919062223922
20240323_214800 , 18.23591932526324 , 31.981703489227254 , 955.3611314625223
20240323_214900 , 18.1548174029449 , 31.95509034792164 , 955.4297212605145
20240323_215100 , 18.11933533535921 , 32.016741114816725 , 955.403980087621
20240323_215200 , 17.99261378182564 , 32.007452348440914 , 955.4046639969034
20240323_215300 , 17.987544923467794 , 32.096419382883006 , 955.208002025053
20240323_215400 , 17.997682640474522 , 32.04627176544627 , 955.4662391295947
20240323_215500 , 17.936856355896452 , 31.991588003555833 , 955.483830363631
20240323_215600 , 17.830410458729602 , 31.90980812712776 , 955.4875613916026
20240323_215700 , 17.723964689910645 , 32.02240868587244 , 955.4912472613911
20240323_215800 , 17.89123666996602 , 31.82559779473928 , 955.4429850527531
20240323_215900 , 18.276470314362086 , 31.480709167340006 , 955.3943955665409
20240323_220000 , 18.626223368482897 , 31.091199011079173 , 955.4276639613006
20240323_220100 , 18.910081938287476 , 30.819115059259012 , 955.4708124373279
20240323_220200 , 19.13818323612213 , 30.653526929973246 , 955.457919203887
20240323_220300 , 19.320664698723704 , 30.561056758921175 , 955.512432735211
20240323_220400 , 19.48287075990811 , 30.401941993155695 , 955.5367342155815
20240323_220500 , 19.619732355844462 , 30.259914128171694 , 955.4962206922407
20240323_220600 , 19.52849126831279 , 30.150073980984864 , 955.5232397500122
20240323_220700 , 19.28011322999373 , 30.37225004658686 , 955.6417106560823
20240323_220800 , 19.09763185121119 , 30.57624033129536 , 955.6141997985735
20240323_220900 , 18.95063323705108 , 30.76270735697273 , 955.6122503628837
